TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,plantDate
96023.0,DPW Maintained,Prunus serrulata :: Ornamental Cherry,668 Larkin St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,1.0,3x3,37.78397773,-122.417583,2011-09-02 00:00:00
60987.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,338 London St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,8.0,3x3,37.72373385,-122.4345578,2011-09-07 00:00:00
10868.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1175X Hudson Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2011-09,3.0,3x3,37.73299005,-122.3816988,2011-09-16 00:00:00
95729.0,DPW Maintained,Prunus serrulata :: Ornamental Cherry,247 Dublin St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,5.0,3x3,37.71621425,-122.42806,2011-09-07 00:00:00
95728.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,235 Dublin St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,5.0,3x3,37.71641877,-122.4279346,2011-09-07 00:00:00
10453.0,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1530 Haight St,2.0,Sidewalk: Curb side : Cutout,Private,2011-09,3.0,3x3,37.77000299,-122.4474592,2011-09-22 00:00:00
96008.0,DPW Maintained,Ligustrum lucidum :: Glossy Privet,999 California St,3.0,Sidewalk: Curb side : Cutout,Private,2011-09,3.0,3x3,37.79180137,-122.4103679,2011-09-02 00:00:00
97247.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,301X Excelsior Ave,3.0,Sidewalk: Curb side : Cutout,SFUSD,2011-09,3.0,4x4,37.72467884,-122.4304082,2011-09-07 00:00:00
175424.0,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,231 Craut St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,9.0,Width 3ft,37.72938901,-122.428236,2011-09-07 00:00:00
10870.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1175X Hudson Ave,3.0,Sidewalk: Curb side : Cutout,DPW,2011-09,3.0,3x4,37.73299005,-122.3816988,2011-09-16 00:00:00
95713.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,649 Avalon Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,4.0,3x3,37.72525964,-122.4269991,2011-09-07 00:00:00
95771.0,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,335 Naples St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,3.0,3x3,37.72336975,-122.4292129,2011-09-07 00:00:00
97248.0,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,301X Excelsior Ave,4.0,Sidewalk: Curb side : Cutout,SFUSD,2011-09,3.0,4x4,37.7249376,-122.4307606,2011-09-07 00:00:00
97391.0,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,3816 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,10.0,3x3,37.75468559,-122.4329046,2011-09-30 00:00:00
95759.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,726 Madrid St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,2.0,3x3,37.7181041,-122.435549,2011-09-07 00:00:00
95758.0,DPW Maintained,Quercus agrifolia :: Coast Live Oak,260 Madrid St,9.0,Sidewalk: Curb side : Cutout,SFUSD,2011-09,3.0,3x3,37.72500638,-122.4303365,2011-09-07 00:00:00
95711.0,DPW Maintained,Leptospermum scoparium :: New Zealand Tea Tree,277 Athens St,4.0,Sidewalk: Curb side : Cutout,Private,2011-09,6.0,3x3,37.72358782,-122.4268881,2011-09-07 00:00:00
10449.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1530 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,2011-09,20.0,3x3,37.76999619,-122.4475685,2011-09-22 00:00:00
97505.0,Undocumented,Ulmus pumila :: Siberian Elm,20X 10th St,2.0,Sidewalk: Curb side : Cutout,Private,2011-10,12.0,3x3,37.77604627,-122.4169555,2011-10-18 00:00:00
10787.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1200X Hudson Ave,10.0,Sidewalk: Curb side : Cutout,DPW,2011-10,3.0,3x4,37.73419786,-122.3826121,2011-10-26 00:00:00
